yyyymm,n_bars,mean_atr14,mean_bar_range,median_atr14,atr_to_range_ratio
2022-01,1946,1.7876,1.775,1.5989,1.0071
2022-02,1830,2.3805,2.3639,2.0827,1.007
2022-03,2116,3.6035,3.5949,3.1982,1.0024
2022-04,1816,2.6166,2.6205,2.4253,0.9985
2022-05,2022,2.4815,2.4408,2.3536,1.0167
2022-06,2015,2.2057,2.1929,2.0926,1.0058
2022-07,1923,2.2257,2.2206,2.02,1.0023
2022-08,2112,1.9221,1.9168,1.7879,1.0028
2022-09,1991,2.2815,2.2788,2.0798,1.0012
2022-10,1956,2.3644,2.3537,2.2427,1.0045
2022-11,2003,2.1717,2.1643,2.0562,1.0034
2022-12,1908,2.014,2.0064,1.8313,1.0038
2023-01,1947,2.2803,2.27,2.1533,1.0045
2023-02,1831,2.3051,2.2964,2.1392,1.0038
2023-03,2092,2.6922,2.6827,2.4305,1.0035
2023-04,1772,2.4394,2.4225,2.1507,1.007
2023-05,2106,2.2008,2.1926,1.9463,1.0037
2023-06,1990,1.9046,1.8964,1.684,1.0043
2023-07,1946,1.7637,1.7564,1.5635,1.0042
2023-08,2116,1.5427,1.5346,1.3881,1.0053
2023-09,1898,1.3564,1.3586,1.173,0.9984
2023-10,2048,2.1574,2.1385,2.0172,1.0088
2023-11,2001,1.8573,1.8496,1.741,1.0042
2023-12,1816,2.3658,2.3647,2.0464,1.0005
2024-01,2038,2.1243,2.1135,1.9418,1.0051
2024-02,1922,1.6459,1.6333,1.4525,1.0077
2024-03,1840,2.5162,2.5285,2.2362,0.9951
2024-04,2024,3.9801,3.9492,3.6606,1.0078
2024-05,2071,3.145,3.1361,2.8493,1.0028
2024-06,1854,2.7996,2.7799,2.5145,1.0071
2024-07,2106,2.9288,2.9324,2.7604,0.9988
2024-08,2000,3.4142,3.4056,3.0182,1.0025
2024-09,1946,2.9298,2.9186,2.7217,1.0038
2024-10,2116,2.9873,2.977,2.7576,1.0035
2024-11,1889,3.7625,3.756,3.5122,1.0017
2024-12,1919,3.1035,3.0863,2.9216,1.0056
2025-01,2014,2.8977,2.9069,2.7256,0.9968
2025-02,1830,3.7812,3.7719,3.6175,1.0025
2025-03,1956,3.6222,3.604,3.4576,1.005
2025-04,1932,7.8039,7.7937,7.3268,1.0013
2025-05,1990,6.4864,6.4335,6.2855,1.0082
2025-06,1946,5.0592,5.0239,4.9311,1.007
2025-07,2100,3.816,3.806,3.6607,1.0026
2025-08,1932,3.619,3.6315,3.3935,0.9966
2025-09,2014,4.9624,4.9408,4.7621,1.0044
2025-10,2092,10.2767,10.2844,9.7352,0.9993
2025-11,1855,8.0515,8.0138,7.8191,1.0047
2025-12,1986,7.5428,7.5347,6.8866,1.0011
2026-01,1922,12.9807,13.1954,9.4368,0.9837
2026-02,1830,17.5641,17.1319,13.1909,1.0252
2026-03,2048,17.1654,17.1364,15.4811,1.0017
2026-04,1088,12.1325,11.9542,11.6331,1.0149
