hour_utc,P0,P1,P2,P3,P4,P5,P6,P7,P8
0,19,20,18,23,14,22,16,18,16
1,27,29,22,31,21,23,23,31,22
2,22,25,28,40,26,35,21,30,26
3,28,16,20,38,25,35,18,32,15
4,22,30,21,28,33,25,26,29,22
5,51,41,26,34,43,48,36,41,20
6,47,42,39,57,47,51,52,52,32
7,52,60,62,82,52,84,44,47,36
8,63,37,44,60,48,61,54,41,39
9,35,31,31,53,25,41,47,35,48
10,31,38,49,46,26,43,47,25,15
11,24,36,35,22,35,39,49,33,47
12,26,50,42,56,50,55,49,46,26
13,52,72,70,70,74,80,60,91,37
14,49,55,48,54,72,62,54,69,55
15,30,43,44,59,41,50,54,50,41
16,32,33,36,57,23,42,57,28,26
17,32,31,22,37,33,41,39,38,21
18,39,44,39,32,54,39,33,24,20
19,59,62,49,39,58,28,35,46,22
20,32,34,35,28,28,15,26,22,15
21,8,2,7,7,3,6,9,2,3
22,4,14,11,6,11,6,10,23,7
23,14,18,9,7,9,10,14,17,7
