sym,year,n_days,mean_ret_bp,std_ret_bp,skew,kurt_excess,p99_abs_bp,mean_rv,mean_range_pct
XAUUSD,2022,309,-0.026162735520007734,85.74440425754116,0.07318506099619146,1.4665979195345082,248.05502748362605,0.007971567132540535,0.012646101250857099
XAUUSD,2023,309,3.989278864048099,76.42048948588963,0.21288498705167108,2.5011916790196516,263.64494319753624,0.006779505976699334,0.01085931991867336
XAUUSD,2024,313,7.686905559516692,83.09495912636208,-0.5704261568469725,2.1865805633705557,230.79534885692928,0.007439867700555016,0.012218823329404672
XAUUSD,2025,312,15.995954234951299,105.43866111308067,-0.48434379306722103,3.851417390043406,340.4052136779427,0.009450357232751325,0.015418317924858274
XAUUSD,2026,92,10.369722876104024,213.78744212634874,-0.39932352502947693,1.6350756016536296,632.8685661892492,0.018633151851569628,0.029180542992160947
US30,2022,309,-3.11099702804484,116.95603600373664,-0.057390849871806954,0.9809960418877415,336.05831254264945,0.0107340541071315,0.017025096319947756
US30,2023,310,4.151942313199407,64.69678963126071,-0.1650044148305112,0.9829615014631914,182.21265668877706,0.006102212657637547,0.009776139292729673
US30,2024,313,3.9209438726848713,64.51882025489594,-0.11523974925285868,2.005666320810141,197.31146301497017,0.005695583629353404,0.009161509234629614
US30,2025,312,3.902018373246757,103.47393139722007,1.6008996873051604,22.27384565340588,370.1553435095828,0.007819987070363866,0.012004687419083587
US30,2026,93,1.9103426072125136,96.7713401288553,0.09132747807348914,0.43070671525867255,240.15587405931237,0.008701025603062372,0.013300342957894267
USDJPY,2022,310,4.150756950806277,62.647882735963,-0.7723092372146125,3.40803659625613,206.59900747848766,0.005629493701165881,0.009079541860812697
USDJPY,2023,311,2.34855524179045,60.104550434579565,-0.5889582752449355,3.0828614029294537,205.74516596240588,0.005116300130634726,0.008431301503098702
USDJPY,2024,314,3.4563655177440946,60.14551141742426,-0.7337581365446653,2.4998800890606656,189.6909289347563,0.005053370902927737,0.00838186960203378
USDJPY,2025,313,-0.10565257407581947,54.62066402339259,-0.35922745250604426,2.224611513384647,165.45363352927248,0.005002785264085802,0.008046055481839946
USDJPY,2026,93,1.6845571284433838,46.2834164300331,-1.3041035983754932,2.408767415724671,136.0537318443483,0.004267511797932272,0.006599738388726886
