anchor_id,date,label,panel,n_strats,allocations,dd_trigger,dd_scale,n_trades_guardian,pass_pct,bust_total_pct,bust_daily_pct,bust_static_pct,timeout_pct,p99_dd_pct,median_days_to_pass,attrib_guardian,attrib_striker_dj30,attrib_aegis,attrib_striker_nas100,source
A1,2026-04-17,Initial calibration (Alchemy),alchemy,3,G 0.30 / S 1.00 / A 1.50,0.010,0.40,,93.00,1.55,,,,4.9,,12.0,40.0,47.0,,docs/adr/2026-04-17-dd-trigger-calibration.md + docs/adr/2026-04-17-portfolio-allocations.md + docs/methodology/1r_estimation.md:343
A2,2026-04-23,Pepperstone re-lock Guardian 0.34 (committed-panel replay),pepperstone,3,G 0.34 / S v4.4 1.00 / A v4.3 1.50,0.010,0.40,201,93.78,0.58,0.00,0.58,5.65,4.92,32,31.4,43.4,25.1,,docs/adr/2026-04-23-guardian-risk-relock-0.34.md + docs/briefs/bust_attribution_flip.md §Partial-D's + CLAUDE.md §Strategy Reference
A3,2026-05-05,4-strategy addition at C0 (pre-reconcile - 209-trade Guardian transient),pepperstone,4,G 0.34 / DJ30 v4.5 1.00 / A v4.3 1.50 / NAS v1 0.40,0.010,0.40,209,98.13,0.22,,,,4.49,,,,,,docs/briefs/striker_nas100_q_nas_3_mc_addition.md §Re-anchor note + data/reconciles/2026-05-05_guardian_n_reconcile.md
A4,2026-05-05,4-strategy addition at C0 (post-reconcile - canonical lock),pepperstone,4,G 0.34 / DJ30 v4.5 1.00 / A v4.3 1.50 / NAS v1 0.40,0.010,0.40,201,97.88,0.22,0.00,0.22,1.90,4.55,23,25.8,40.9,22.7,10.6,docs/briefs/striker_nas100_q_nas_3_mc_addition.md + docs/briefs/Q-DDP-1/sweep_results.csv §C0 + tests/test_mc_anchors.py (pre-05-08 pin)
A5,2026-05-08,dd_protection C2 relock (4-strategy all-data panel),pepperstone,4,G 0.34 / DJ30 v4.5 1.00 / A v4.3 1.50 / NAS v1 0.40,0.015,0.40,201,98.09,0.36,0.00,0.36,1.55,4.73,22,21.3,44.4,24.1,10.2,docs/adr/2026-05-08-dd-trigger-c2-relock.md + tests/test_mc_anchors.py (pre-2026-05-14 pin) + docs/briefs/Q-DDP-1/sweep_results.csv §C2
A6,2026-05-14,Panel refresh only at C2 (DJ30 v4.5 1.00% pyramid 350% / NAS 0.40% - documented revert target),pepperstone,4,G 0.34 / DJ30 v4.5 1.00 / A v4.3 1.50 / NAS v1 0.40,0.015,0.40,,98.65,0.25,0.00,0.25,,4.69,21,27.0,43.2,20.3,9.5,docs/adr/2026-05-14-allocation-refresh.md §Context + §Alternatives + CLAUDE.md §Prior anchors (historical)
A7,2026-05-14,Allocation refresh — DJ30 0.75% pyramid 500% + NAS 0.45% (150-bday semantics — superseded 05-16),pepperstone,4,G 0.34 / DJ30 v4.5 0.75 pyr 500% / A v4.3 1.50 / NAS v1 0.45,0.015,0.40,,98.78,0.12,0.00,0.12,1.10,4.17,21,34.3,25.7,28.6,11.4,docs/adr/2026-05-14-allocation-refresh.md §Locked MC numbers
A8,2026-05-16,FXIFY-correct timeout semantic — 60-day inactivity bust replaces 150-day horizon cap (current canonical),pepperstone,4,G 0.34 / DJ30 v4.5 0.75 pyr 500% / A v4.3 1.50 / NAS v1 0.45,0.015,0.40,,99.88,0.12,0.00,0.12,0.00,4.21,21,40.0,8.6,37.1,14.3,docs/adr/2026-05-16-fxify-correct-timeout-semantic.md §Locked MC numbers + tests/test_mc_anchors.py:94-96 (post-ADR pin) + closes Q-MCTO-1 CLOSED-RESOLVED
O4,2026-05-05,OANDA pattern-spotting (3-strategy DJ30 v4.4 C0 - active through 05-07),oanda,3,G 0.34 / S v4.4 1.00 / A v4.3 1.50,0.010,0.40,,96.05,0.48,,,,4.79,,,,,,docs/briefs/striker_nas100_q_nas_3_mc_addition.md §What is NOT in this MC + §Test pin
O5,2026-05-08,OANDA pattern-spotting C2 (pre-2026-05-14 refresh),oanda,3,G 0.34 / S v4.4 1.00 / A v4.3 1.50,0.015,0.40,,96.23,0.69,,,,4.91,25,,,,,docs/adr/2026-05-08-dd-trigger-c2-relock.md §Locked MC numbers + tests/test_mc_anchors.py (pre-2026-05-14 pin)
O7,2026-05-14,OANDA pattern-spotting C2 (allocation refresh - 150-bday semantics - superseded 05-16),oanda,3,G 0.34 / S v4.4 0.75 pyr 500% / A v4.3 1.50,0.015,0.40,,96.33,0.40,,,,4.73,26,,,,,docs/adr/2026-05-14-allocation-refresh.md §Locked MC numbers
O8,2026-05-16,OANDA pattern-spotting C2 FXIFY-correct semantic (current canonical),oanda,3,G 0.34 / S v4.4 0.75 pyr 500% / A v4.3 1.50,0.015,0.40,,99.51,0.49,,,,4.82,27,,,,,docs/adr/2026-05-16-fxify-correct-timeout-semantic.md §Locked MC numbers + tests/test_mc_anchors.py:115-117
