config_id,dd_trigger,dd_scale,description,seed,pass_rate,bust_rate_total,bust_rate_daily,bust_rate_static,timeout_rate,p99_dd,median_days_to_pass,realized_drag_dollars,realized_drag_pct_of_unprotected_pnl,bust_attrib_guardian,bust_attrib_striker,bust_attrib_aegis,bust_attrib_striker_nas100
C0,0.01,0.4,baseline (locked),42,0.979,0.0022,0.0,0.0022,0.0188,,,,,,,,
C0,0.01,0.4,baseline (locked),123,0.9788,0.0018,0.0,0.0018,0.0194,,,,,,,,
C0,0.01,0.4,baseline (locked),2026,0.9787,0.0026,0.0,0.0026,0.0187,,,,,,,,
C0,0.01,0.4,baseline (locked),AGGREGATE,0.9788333333333333,0.0022,0.0,0.0022,0.018966666666666666,0.045474690907936384,23.0,-112793.9453484934,-0.1750707309569218,0.25757575757575757,0.4090909090909091,0.22727272727272727,0.10606060606060606
C1,0.01,0.5,"same trigger, less aggressive scaling",42,0.9833,0.0055,0.0,0.0055,0.0112,,,,,,,,
C1,0.01,0.5,"same trigger, less aggressive scaling",123,0.9854,0.0047,0.0,0.0047,0.0099,,,,,,,,
C1,0.01,0.5,"same trigger, less aggressive scaling",2026,0.983,0.0059,0.0,0.0059,0.0111,,,,,,,,
C1,0.01,0.5,"same trigger, less aggressive scaling",AGGREGATE,0.9839000000000001,0.005366666666666666,0.0,0.005366666666666666,0.010733333333333333,0.048894433741746825,23.0,-94275.35947977682,-0.14632750050862148,0.32919254658385094,0.43478260869565216,0.16770186335403728,0.06832298136645963
C2,0.015,0.4,"looser trigger, same scaling",42,0.9807,0.0034,0.0,0.0034,0.0159,,,,,,,,
C2,0.015,0.4,"looser trigger, same scaling",123,0.9814,0.0034,0.0,0.0034,0.0152,,,,,,,,
C2,0.015,0.4,"looser trigger, same scaling",2026,0.9806,0.004,0.0,0.004,0.0154,,,,,,,,
C2,0.015,0.4,"looser trigger, same scaling",AGGREGATE,0.9809,0.0036000000000000003,0.0,0.0036000000000000003,0.0155,0.04734320154132664,22.0,-84627.52398938756,-0.13135281719351977,0.21296296296296297,0.4444444444444444,0.24074074074074073,0.10185185185185185
C3,0.015,0.5,both relaxed,42,0.9836,0.0067,0.0,0.0067,0.0097,,,,,,,,
C3,0.015,0.5,both relaxed,123,0.9845,0.0069,0.0,0.0069,0.0086,,,,,,,,
C3,0.015,0.5,both relaxed,2026,0.9818,0.0085,0.0,0.0085,0.0097,,,,,,,,
C3,0.015,0.5,both relaxed,AGGREGATE,0.9833000000000002,0.007366666666666667,0.0,0.007366666666666667,0.009333333333333334,0.049614165825169816,22.0,-59809.148048704024,-0.09283150114526272,0.3167420814479638,0.43891402714932126,0.2081447963800905,0.03619909502262444
C4,0.02,0.5,maximum relaxation,42,0.9821,0.0096,0.0,0.0096,0.0083,,,,,,,,
C4,0.02,0.5,maximum relaxation,123,0.9842,0.0091,0.0,0.0091,0.0067,,,,,,,,
C4,0.02,0.5,maximum relaxation,2026,0.9799,0.0121,0.0,0.0121,0.008,,,,,,,,
C4,0.02,0.5,maximum relaxation,AGGREGATE,0.9820666666666668,0.010266666666666667,0.0,0.010266666666666667,0.007666666666666666,0.050563553143281786,21.0,-30535.206689027487,-0.047394573693224695,0.3474025974025974,0.33116883116883117,0.2694805194805195,0.05194805194805195
