,XAUUSD,US30,USDJPY,z_sum
2025-04-08,0.0032104094089078217,-0.04315544608812516,-0.015464912021981192,-7.206565318942124
2025-04-03,-0.015917705997004816,-0.02668325778642533,-0.010964887386291977,-6.501743134659271
2025-04-04,-0.01974366425848295,-0.05267027705427907,0.009211490581146009,-6.299830051910824
2023-01-18,0.00537344267112605,-0.020966615825967594,-0.025563034847700727,-6.272405535024199
2024-07-24,-0.017419185315991292,-0.00798355228352321,-0.017802770949139735,-5.755449618221217
2026-01-29,-0.06368587929465264,-0.002848265485983603,0.006177847242759604,-5.6400486117426825
2024-08-02,-0.00495809716850637,-0.013640129669042267,-0.019910196646403477,-5.515565522250343
2026-01-30,-0.063247392837809,0.00039073728120619933,0.00554570787829789,-5.348194888319204
2026-02-01,-0.045060538317683196,-0.007019661217654516,0.0003746503845230009,-5.262043089280176
2022-12-19,-0.0014120669868775693,-0.012169543247138037,-0.02089308104044285,-5.173491770258571
2026-03-20,-0.0495471270572434,-0.007811224159537389,0.005264164287901885,-4.955923830500599
2022-04-29,-0.003895953378238559,-0.02570321441124257,-0.006566062195448197,-4.465715090814098
2025-04-10,0.029120718122387146,-0.02628809740903293,-0.02511630994873748,-4.45392495616362
2025-04-06,-0.006225961865306218,-0.0259661992490976,-0.004950538917044334,-4.4478313956091275
2025-05-14,-0.024390152957940003,-0.006689465695338015,-0.0067807969698554516,-4.418380743433236
